# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_upstream_gene_variant
AP006222.2	ENSG00000228463	ENST00000424587	lincRNA	3	0	3	0	0
AP006222.2	ENSG00000228463	ENST00000448958	lincRNA	3	0	0	0	3
AP006222.2	ENSG00000228463	ENST00000634344	lincRNA	3	0	0	0	3
FAM166AP3	ENSG00000283040	ENST00000635557	transcribed_unprocessed_pseudogene	9	7	0	0	2
FAM41C	ENSG00000230368	ENST00000427857	lincRNA	23	13	8	0	2
FAM41C	ENSG00000230368	ENST00000432963	lincRNA	21	13	2	1	5
FAM41C	ENSG00000230368	ENST00000446136	lincRNA	23	13	7	1	2
FAM87B	ENSG00000177757	ENST00000326734	lincRNA	12	2	0	8	2
LINC00115	ENSG00000225880	ENST00000473798	lincRNA	11	4	0	5	2
LINC01128	ENSG00000228794	ENST00000415295	lincRNA	24	4	12	2	6
LINC01128	ENSG00000228794	ENST00000416570	lincRNA	46	6	30	1	9
LINC01128	ENSG00000228794	ENST00000425657	retained_intron	17	6	2	5	4
LINC01128	ENSG00000228794	ENST00000441765	lincRNA	29	6	14	0	9
LINC01128	ENSG00000228794	ENST00000445118	lincRNA	55	8	31	7	9
LINC01128	ENSG00000228794	ENST00000448975	lincRNA	45	8	28	0	9
LINC01128	ENSG00000228794	ENST00000449005	lincRNA	46	5	31	1	9
LINC01128	ENSG00000228794	ENST00000608189	lincRNA	45	7	28	1	9
LINC01128	ENSG00000228794	ENST00000609009	lincRNA	45	7	28	1	9
LINC01128	ENSG00000228794	ENST00000609139	lincRNA	45	8	28	0	9
LINC01128	ENSG00000228794	ENST00000610067	lincRNA	45	8	28	0	9
LINC01128	ENSG00000228794	ENST00000622921	lincRNA	46	6	28	3	9
LINC01128	ENSG00000228794	ENST00000623070	lincRNA	46	5	31	1	9
LINC01128	ENSG00000228794	ENST00000623808	lincRNA	46	8	32	1	5
LINC01128	ENSG00000228794	ENST00000624927	lincRNA	41	11	27	1	2
RP11-206L10.8	ENSG00000230092	ENST00000447500	processed_transcript	10	0	2	1	7
RP11-54O7.1	ENSG00000230699	ENST00000448179	lincRNA	6	0	1	2	3
RP11-54O7.16	ENSG00000272438	ENST00000607769	lincRNA	16	0	6	0	10
RP11-54O7.2	ENSG00000241180	ENST00000398216	lincRNA	4	0	1	1	2
RP11-54O7.3	ENSG00000223764	ENST00000417705	lincRNA	3	3	0	0	0
RP11-54O7.3	ENSG00000223764	ENST00000432961	retained_intron	2	2	0	0	0
RP11-54O7.3	ENSG00000223764	ENST00000609207	retained_intron	3	3	0	0	0
RP5-857K21.4	ENSG00000230021	ENST00000634337	lincRNA	21	0	19	0	2
RP5-857K21.4	ENSG00000230021	ENST00000635509	lincRNA	21	0	19	0	2
TUBB8P11	ENSG00000234711	ENST00000415481	unprocessed_pseudogene	10	3	0	2	5
